id,name,domain,website,industry,segmento,country,state,city,num_associated_contacts,num_associated_deals,lifecyclestage,sources
33073569160,Agencia LOI,agencialoi.com,agencialoi.com,,Mídia e Conteúdo,,,,2,1,,name-agencia
33586189105,Agência M2 Marcas,,,,,,,,1,,,name-agencia
33764744878,Agência M2W,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33653883537,Agência M3Com,m3com.com.br,m3com.com.br,,Mídia e Conteúdo,,,,1,3,,name-agencia
34933973686,Agência M4H,agenciam4h.com.br,agenciam4h.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
51766398572,Agência macrobrasil.com,macrobrasil.com.br,macrobrasil.com.br,,,,,,1,,1246600764,name-agencia
33493048682,Agência Madalena,agenciamadalena.com.br,agenciamadalena.com.br,,Mídia e Conteúdo,,,,5,3,,name-agencia
33652507204,Agência Magna,agenciamagna.com.br,agenciamagna.com.br,,Serviços Administrativos,,,,1,,,name-agencia
33763351829,Agência Magnex 360,,,,,,,,1,1,,name-agencia
37576194180,Agência Maiorino,maiorino.com.br,maiorino.com.br,,Mídia e Conteúdo,,,,1,2,,name-agencia
53148628076,Agência Mak,agenciamak.com.br,agenciamak.com.br,,,,,,1,1,1246600764,name-agencia
54170600317,Agência Mangata,mangata.ag,mangata.ag,,,,,,3,7,1246600764,name-agencia
33503091066,Agência Mattis,agenciamattis.com.br,agenciamattis.com.br,,Serviços Profissionais,,,,4,1,,name-agencia
33761803939,Agência Mattiz,,,,,,,,2,1,,name-agencia
38803443805,Agencia Mazos,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
39583032361,Agência MB2,agenciamb2.com.br,agenciamb2.com.br,,,,,,1,1,,name-agencia
33794288762,Agência MCI,,,,,,,,2,2,,name-agencia
33653410825,Agência Me Gusta,megusta.com.br,megusta.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33762422890,Agência Mega,jaderalmeida.com,https://www.jaderalmeida.com/,,,,,,1,1,,name-agencia
33070878785,Agência Memo,agenciamemo.com.br,agenciamemo.com.br,,Mídia e Conteúdo,,,,2,,,name-agencia
33662318627,Agência MKT,agenciamkt.com.br,agenciamkt.com.br,,Mídia e Conteúdo,,,,1,2,,name-agencia
33789844999,Agência MKT - Accenture,,,,Serviços Profissionais,,,,1,1,,name-agencia
33779294649,Agência MNW,,,,,,,,1,2,,name-agencia
33663865378,Agência Mokeka,mokeka.com.br,mokeka.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33769770892,Agência Monk,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33580691372,Agência Mostarda Produções,praticagemdobrasil.org.br,https://www.praticagemdobrasil.org.br/,,Logística e Transporte,,,,2,2,,name-agencia
39582182058,Agência Motivare,agenciamotivare.com.br,agenciamotivare.com.br,,,,,,1,1,,name-agencia
33793963112,Agência Mova,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33761803936,Agência Multicase,,,,,,,,1,1,,name-agencia
33662937771,Agencia Multiplique,agenciamultiplique.com.br,agenciamultiplique.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
46580127558,Agência Nacional de Águas e Saneamento Básico,ana.gov.br,ana.gov.br,,Energia e Utilities,,,,1,1,,name-agencia
34936594256,Agência Nacional de Assistência Técnica e Extensão Rural,anater.org,anater.org,,Terceiro Setor,,,,1,,,name-agencia
33084653160,Agência Nacional de Aviação Civil,anac.gov.br,anac.gov.br,,,,,,5,2,customer,name-agencia
39600658953,Agência Nacional de Energia Elétrica - ANEEL - Brasil,aneel.gov.br,aneel.gov.br,,,,,,2,2,,name-agencia
32995061048,Agência Nacional de Saúde Suplementar - ANS,ans.gov.br,ans.gov.br,,,,,,1,,1062353184,name-agencia
33670760747,Agência NES,agencianes.com.br,agencianes.com.br,,Mídia e Conteúdo,,,,1,,,name-agencia
33766139221,Agência Netza,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33762111127,agencia news,,,,,,,,1,1,,name-agencia
33071653028,Agência Newton,newton.ag,newton.ag,,Mídia e Conteúdo,,,,1,,,name-agencia
33494443447,Agência NIX,nixagencia.com.br,nixagencia.com.br,,Mídia e Conteúdo,,,,2,1,,name-agencia
33073723794,Agência Nmais,agencianmais.com.br,agencianmais.com.br,,Mídia e Conteúdo,,,,5,3,,name-agencia
33795415695,Agência Nobre,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33753006117,Agência Novos Caminhos,,,,,,,,1,1,,name-agencia
33793963126,Agência nSco,,,,Mídia e Conteúdo,,,,1,1,,name-agencia
33671381803,Agencia Nuclear,nuclearproducoes.com.br,nuclearproducoes.com.br,,Serviços Administrativos,,,,1,,,name-agencia
44952590731,Agência Nusit,nusit.com.br,https://nusit.com.br,GRAPHIC_DESIGN,,Brazil,,,1,1,,name-agencia
33659840797,Agência Nuts,agencianuts.com.br,agencianuts.com.br,,,,,,4,3,,name-agencia
33675571215,Agência Nuts,nutsll.com.br,nutsll.com.br,,Serviços Administrativos,,,,1,,,name-agencia
39596477482,Agência Nuvem,agnuvem.com.br,agnuvem.com.br,GOVERNMENT_RELATIONS,Mídia e Conteúdo,Brazil,,,1,1,,name-agencia
33794952317,Agência OM,,,,,,,,1,1,,name-agencia
51256799800,Agencia On The Nose ,nose.ag,nose.ag,,Mídia e Conteúdo,,,,3,1,1246600764,name-agencia
33674641428,Agência Onze,onzemc.com.br,onzemc.com.br,,Mídia e Conteúdo,,,,3,2,,name-agencia
33762733717,Agência Original Experience,,,,,,,,1,1,,name-agencia
39592391445,Agência Orla,agenciaorla.com.br,agenciaorla.com.br,MANAGEMENT_CONSULTING,,Brazil,,,1,1,,name-agencia
52514321276,Agência Outbox,agenciaoutbox.com,agenciaoutbox.com,,Tecnologia e Comunicação,,,,1,,1062353184,name-agencia
41957297467,Agencia Palavra,sindicombustiveis-al.com.br,https://sindicombustiveis-al.com.br/,,Varejo e Comércio,,,,1,5,,name-agencia
33759813817,Agência Palestras de Sucesso,,,,Serviços Profissionais,,,,1,1,,name-agencia
